user_ID,user_name,age,gender,location,signup_date,sub_plan,device_type
1,Rickey Lebreton,43,Male,China,2017-03-31,Silver,Desktop
2,Sloane Sloegrave,27,Male,Canada,2016-06-06,Gold,Tablet
3,Sloan Nusche,20,Male,Macedonia,2015-12-05,Silver,Smartphone
4,Cecil Barks,29,Male,Russia,2018-08-19,Silver,Smartphone
5,Kynthia De Beauchemp,19,Female,Indonesia,2020-10-10,VIP,Smartphone
6,Alix Stummeyer,25,Female,United States,2018-01-19,Silver,Smartphone
7,Parrnell Lomond,49,Male,Trinidad and Tobago,2022-04-02,Gold,Tablet
8,Zonnya Shark,25,Female,Poland,2020-08-29,Silver,Laptop
9,Papagena Edgecumbe,26,Female,Equatorial Guinea,2022-03-20,Silver,Smartphone
10,Jacqueline Baldacchi,34,Female,Uruguay,2019-09-19,Silver,Desktop
11,Tate McFaul,32,Male,Sweden,2016-01-06,Silver,Smartphone
12,Vaughan Lethley,58,Male,China,2020-03-10,VIP,Smartphone
13,Matthias Presley,34,Male,Peru,2021-01-06,Silver,Desktop
14,Mattie Sproat,36,Female,Poland,2016-05-30,Silver,Tablet
15,Alma Eytel,24,Female,Poland,2019-10-26,Platinum,Laptop
16,Leese Brettor,51,Female,South Korea,2015-10-14,Silver,Smartphone
17,Kirk Lere,42,Male,Botswana,2022-11-15,Silver,Smartphone
18,Lita Facher,42,Female,Pakistan,2016-08-19,Silver,Tablet
19,Wayne Durnin,48,Male,Canada,2023-03-19,Gold,Desktop
20,Jere Vero,54,Male,Philippines,2019-01-26,Silver,Smartphone
21,Ty Pateman,45,Male,Thailand,2022-01-18,Silver,Desktop
22,Marlin Curless,40,Male,Pakistan,2021-04-06,Silver,Laptop
23,Thorsten Harsnipe,57,Male,Tanzania,2022-03-01,Silver,Smartphone
24,Bamby Sinson,59,Female,United States,2017-09-15,Silver,Desktop
25,Melody Cuming,26,Female,Russia,2015-01-24,Silver,Laptop
26,Page Pervoe,39,Male,Nigeria,2015-06-23,Silver,Smartphone
27,Aldrich Archell,20,Male,Nigeria,2022-03-07,Silver,Laptop
28,Manuel Kerans,55,Male,Serbia,2021-12-12,Silver,Laptop
29,Gael Gehricke,55,Male,Brazil,2021-05-24,Silver,Laptop
30,Lorianne Mulroy,35,Female,Russia,2020-12-02,Silver,Laptop
31,Hyacintha Cockren,56,Female,Argentina,2016-05-13,Silver,Desktop
32,Reidar Rosbottom,58,Male,Kazakhstan,2018-11-18,Gold,Laptop
33,Anjela Greeding,34,Female,Portugal,2017-05-17,Gold,Smartphone
34,Rab Rowe,19,Male,China,2019-10-06,Gold,Smartphone
35,Ursula Cleveland,21,Female,China,2019-01-06,Gold,Smartphone
36,Blinni Mattedi,55,Female,China,2020-08-09,Silver,Laptop
37,Ruthe Moralee,49,Female,Indonesia,2021-12-21,Gold,Desktop
38,Othilie Barbosa,40,Female,Mexico,2018-04-05,Gold,Laptop
39,Melly Laybourn,31,Female,Ukraine,2018-09-23,Platinum,Smartphone
40,Katlin Kinchley,57,Female,Mexico,2020-09-22,Gold,Smartphone
41,Wilt Stanlake,55,Male,China,2018-02-11,Silver,Laptop
42,Ritchie Pretorius,53,Male,Burkina Faso,2020-01-06,Silver,Laptop
